Start Date,Aantal Ritten,Huurtijd
2019-01-01,0,0.0
2019-01-02,19552,358875.0
2019-01-03,21346,361027.0
2019-01-04,20666,344051.0
2019-01-05,13770,253234.0
2019-01-06,14131,294908.0
2019-01-07,25453,373467.0
2019-01-08,27495,392790.0
2019-01-09,26350,398803.0
2019-01-10,25793,377337.0
2019-01-11,26179,399740.0
2019-01-12,16572,320286.0
2019-01-13,16128,336153.0
2019-01-14,27877,417992.0
2019-01-15,29101,420444.0
2019-01-16,24303,365227.0
2019-01-17,25849,387745.0
2019-01-18,25337,386192.0
2019-01-19,16488,313955.0
2019-01-20,16620,372320.0
2019-01-21,26353,384747.0
2019-01-22,22881,319300.0
2019-01-23,25229,369642.0
2019-01-24,24149,349808.0
2019-01-25,23980,381953.0
2019-01-26,14894,311984.0
2019-01-27,10498,199325.0
2019-01-28,25638,380109.0
2019-01-29,24528,341151.0
2019-01-30,25238,381695.0
2019-01-31,23245,335469.0
2019-02-01,12742,186766.0
2019-02-02,13970,259285.0
2019-02-03,14463,301143.0
2019-02-04,18106,253148.0
2019-02-05,25405,350410.0
2019-02-06,25965,418755.0
2019-02-07,26427,411006.0
2019-02-08,17330,267403.0
2019-02-09,17203,364524.0
2019-02-10,10699,189633.0
2019-02-11,27188,413591.0
2019-02-12,28459,406571.0
2019-02-13,28907,440507.0
2019-02-14,29012,466026.0
2019-02-15,28575,544837.0
2019-02-16,20322,459103.0
2019-02-17,24081,628647.0
2019-02-18,23630,358647.0
2019-02-19,28588,461442.0
2019-02-20,28723,499467.0
2019-02-21,30182,550934.0
2019-02-22,29409,587782.0
2019-02-23,28881,800949.0
2019-02-24,25757,733805.0
2019-02-25,31196,556022.0
2019-02-26,34553,589099.0
2019-02-27,35034,628483.0
2019-02-28,26963,411723.0
2019-03-01,28006,479824.0
2019-03-02,22537,511361.0
2019-03-03,9552,168433.0
2019-03-04,26308,392144.0
2019-03-05,29366,437526.0
2019-03-06,25235,370943.0
2019-03-07,24676,372787.0
2019-03-08,23410,354040.0
2019-03-09,19698,433769.0
2019-03-10,11984,227562.0
2019-03-11,27453,438413.0
2019-03-12,21528,285524.0
2019-03-13,26614,396867.0
2019-03-14,23485,341639.0
2019-03-15,25874,407295.0
2019-03-16,14420,273688.0
2019-03-17,14245,314101.0
2019-03-18,27548,423004.0
2019-03-19,27339,396955.0
2019-03-20,30176,474301.0
